title;price;square_meters;price_per_m2;location;link;first_photo;processing_date;bathrooms;rooms
Venta De Casa - Mas De 4 Ambientes - Monte Grande;70000.0;150;466.6666666666667;French 310, Monte Grande, Esteban ...;https://casa.mercadolibre.com.ar/MLA-1361391033-venta-de-casa-mas-de-4-ambientes-monte-grande-_JM#position=5&search_layout=grid&type=item&tracking_id=a0f37ccb-6657-4fb1-b822-34bdb647ee84;https://http2.mlstatic.com/D_NQ_NP_836599-MLA54180824206_032023-W.jpg;2023-10-19;4 baños;
Venta - Inmueble En Esq. Con Local, Casa Y Departamento;70000.0;150;466.6666666666667;9 De Abril 1193, Monte Grande, Est...;https://departamento.mercadolibre.com.ar/MLA-1143304428-venta-inmueble-en-esq-con-local-casa-y-departamento-_JM#position=34&search_layout=grid&type=item&tracking_id=0118436b-85a3-442f-a1da-3bb4271db0e4;https://http2.mlstatic.com/D_NQ_NP_693758-MLA50379988249_062022-W.jpg;2023-10-19;3 baños;
Chalet Monte Grande.;180000.0;385;467.53246753246754;Saavedra 122, Monte Grande, Esteba...;https://casa.mercadolibre.com.ar/MLA-1332701327-chalet-monte-grande-_JM#position=19&search_layout=grid&type=item&tracking_id=b364e229-cc2e-4600-b3e8-7c3d88351e5e;https://http2.mlstatic.com/D_NQ_NP_892725-MLA70771780082_072023-W.jpg;2023-10-19;4 baños;
Casa - Independencia 420;65000.0;139;467.62589928057554;Independencia 420, Monte Grande, P...;https://casa.mercadolibre.com.ar/MLA-1138655050-casa-independencia-420-_JM#position=36&search_layout=grid&type=item&tracking_id=45aa4a5b-4de9-4c64-b276-cc431df89838;https://http2.mlstatic.com/D_NQ_NP_853186-MLA50049049009_052022-W.jpg;2023-10-19;1 baño;
Venta De Chalet 3 Ambientes -cochera Y Pileta - Monte Grande;200000.0;427;468.384074941452;Salta 945, Monte Grande, Esteban E...;https://casa.mercadolibre.com.ar/MLA-1360498034-venta-de-chalet-3-ambientes-cochera-y-pileta-monte-grande-_JM#position=1&search_layout=grid&type=item&tracking_id=e025942f-3cd3-434a-9c0b-59d20ad3ee7d;https://http2.mlstatic.com/D_NQ_NP_806360-MLA54071615480_022023-W.jpg;2023-10-19;2 baños;
Casa - Monte Grande;180000.0;384;468.75;Cornelio Saavedra 122, Monte Grand...;https://casa.mercadolibre.com.ar/MLA-1380884243-casa-monte-grande-_JM#position=30&search_layout=grid&type=item&tracking_id=b364e229-cc2e-4600-b3e8-7c3d88351e5e;https://http2.mlstatic.com/D_NQ_NP_612235-MLA70801931455_072023-W.jpg;2023-10-19;4 baños;
Venta Chalet 5 Ambientes Lote Quincho Pileta Cochera Pasante;75000.0;160;468.75;Pizurno 2257, Monte Grande, Esteba...;https://casa.mercadolibre.com.ar/MLA-1420658458-venta-chalet-5-ambientes-lote-quincho-pileta-cochera-pasante-_JM#position=42&search_layout=grid&type=item&tracking_id=c112ea19-8061-4548-be78-cfd9dfc8ba6b;https://http2.mlstatic.com/D_NQ_NP_969797-MLA69502225434_052023-W.jpg;2023-10-19;1 baño;
Casa - Monte Grande;160000.0;340;470.5882352941176;Nuestras Malvinas Al 1700, Monte G...;https://casa.mercadolibre.com.ar/MLA-1356219585-casa-monte-grande-_JM#position=31&search_layout=grid&type=item&tracking_id=e025942f-3cd3-434a-9c0b-59d20ad3ee7d;https://http2.mlstatic.com/D_NQ_NP_863608-MLA53991516374_022023-W.jpg;2023-10-19;3 baños;
Excelente Inmueble En Venta!! Colon 108;120000.0;255;470.5882352941176;Colon  108, Monte Grande, Esteban ...;https://inmueble.mercadolibre.com.ar/MLA-916949809-excelente-inmueble-en-venta-colon-108-_JM#position=9&search_layout=grid&type=item&tracking_id=0118436b-85a3-442f-a1da-3bb4271db0e4;https://http2.mlstatic.com/D_NQ_NP_779416-MLA45630701262_042021-W.jpg;2023-10-19;;
Venta De Lote En Monte Grande 1800 Mts, Ideal Emprendimiento;850000.0;1800;472.22222222222223;General Lavalle 100, Monte Grande,...;https://terreno.mercadolibre.com.ar/MLA-849213382-venta-de-lote-en-monte-grande-1800-mts-ideal-emprendimiento-_JM#position=36&search_layout=grid&type=item&tracking_id=91b0c92b-261f-4012-b4ed-8716042aafd0;https://http2.mlstatic.com/D_NQ_NP_901195-MLA50126986293_052022-W.jpg;2023-10-19;;
Inversion Al Costo De Pozo - Oportunidad;20800.0;44;472.72727272727275;General Rodríguez 1045, Monte Gran...;https://departamento.mercadolibre.com.ar/MLA-1128672879-inversion-al-costo-de-pozo-oportunidad-_JM#position=17&search_layout=grid&type=item&tracking_id=c19c581b-ce30-49e4-9743-1e52fce2b08f;https://http2.mlstatic.com/D_NQ_NP_653702-MLA49433712099_032022-W.jpg;2023-10-19;1 baño;
Casa - Monte Grande;95000.0;200;475.0;Ingeniero Huergo 1675, Monte Grand...;https://casa.mercadolibre.com.ar/MLA-1515154064-casa-monte-grande-_JM#position=44&search_layout=grid&type=item&tracking_id=34a0146d-8ff8-4da4-a44b-4dddafa63945;https://http2.mlstatic.com/D_NQ_NP_806532-MLA71876071269_092023-W.jpg;2023-10-19;1 baño;
Venta De Casa En Monte Grande;95000.0;200;475.0;Alvear  Al 2800, Monte Grande, Est...;https://casa.mercadolibre.com.ar/MLA-1264253129-venta-de-casa-en-monte-grande-_JM#position=1&search_layout=grid&type=item&tracking_id=2821c83c-9c77-486e-90eb-10ab5a456d44;https://http2.mlstatic.com/D_NQ_NP_945433-MLA52645118386_112022-W.jpg;2023-10-19;4 baños;
Casa - Origone 920 Monte Grande;95000.0;200;475.0;Teniente Felix Origone 920, Monte ...;https://casa.mercadolibre.com.ar/MLA-1146062314-casa-origone-920-monte-grande-_JM#position=10&search_layout=grid&type=item&tracking_id=dcbad6c3-5469-47c4-a943-66c465431961;https://http2.mlstatic.com/D_NQ_NP_963632-MLA50625900514_072022-W.jpg;2023-10-19;2 baños;
Galpón - Monte Grande;95000.0;200;475.0;Dean Funes  Al 1300, Monte Grande,...;https://inmueble.mercadolibre.com.ar/MLA-918523233-galpon-monte-grande-_JM#position=20&search_layout=grid&type=item&tracking_id=c165c15f-9b89-4557-aa83-c463359173f8;https://http2.mlstatic.com/D_NQ_NP_793505-MLA45757986606_042021-W.jpg;2023-10-19;;
Casa - San Martin 300 Monte Grande;95000.0;200;475.0;San Martín 300, Monte Grande, Prov...;https://casa.mercadolibre.com.ar/MLA-1127404094-casa-san-martin-300-monte-grande-_JM#position=2&search_layout=grid&type=item&tracking_id=91b0c92b-261f-4012-b4ed-8716042aafd0;https://http2.mlstatic.com/D_NQ_NP_620453-MLA49343003991_032022-W.jpg;2023-10-19;2 baños;
Terreno En  Venta - Monte Grande;650000.0;1350;481.48148148148147;Rodriguez  Al 500, Monte Grande, E...;https://terreno.mercadolibre.com.ar/MLA-1381967955-terreno-en-venta-monte-grande-_JM#position=18&search_layout=grid&type=item&tracking_id=8c17b2a8-e3fa-4266-9fd1-0f7d162cca88;https://http2.mlstatic.com/D_NQ_NP_993168-MLA70933917135_082023-W.jpg;2023-10-19;;
Monte Grande  Casa En La Calle Edison Monte Grande;290000.0;600;483.3333333333333;Calle Edison , Monte Grande, Monte...;https://casa.mercadolibre.com.ar/MLA-1477526916-monte-grande-casa-en-la-calle-edison-monte-grande-_JM#position=18&search_layout=grid&type=item&tracking_id=159f88c3-3272-4761-a369-a4df45856cd7;https://http2.mlstatic.com/D_NQ_NP_877743-MLA71190421219_082023-W.jpg;2023-10-19;3 baños;
Venta Casa + Ph Monte Grande;78000.0;160;487.5;Fragata Heroina 1936, Monte Grande...;https://casa.mercadolibre.com.ar/MLA-1127597740-venta-casa-ph-monte-grande-_JM#position=13&search_layout=grid&type=item&tracking_id=54121434-8fc5-47b7-9a0f-5d7d4b44f558;https://http2.mlstatic.com/D_NQ_NP_949783-MLA49355247033_032022-W.jpg;2023-10-19;1 baño;
Local - Monte Grande;220000.0;450;488.8888888888889;Av. Fair Al 200, Monte Grande, Est...;https://inmueble.mercadolibre.com.ar/MLA-918523208-local-monte-grande-_JM#position=48&search_layout=grid&type=item&tracking_id=b798128f-1f24-4705-a31c-2c20413786c3;https://http2.mlstatic.com/D_NQ_NP_856549-MLA45757985759_042021-W.jpg;2023-10-19;2 baños;
Hermosa Casa, En Barrio Tranquilo;49000.0;100;490.0;Pedro Reta 2050, Monte Grande, Pro...;https://casa.mercadolibre.com.ar/MLA-1386627443-hermosa-casa-en-barrio-tranquilo-_JM#position=6&search_layout=grid&type=item&tracking_id=48a25870-1830-4c0a-a22f-89aa140d91f9;https://http2.mlstatic.com/D_NQ_NP_896690-MLA71475760558_092023-W.jpg;2023-10-19;1 baño;
 Venta Duplex Monte Grande;49000.0;100;490.0;Cristóbal Colón 1091, Monte Grande...;https://departamento.mercadolibre.com.ar/MLA-1440837856-venta-duplex-monte-grande-_JM#position=47&search_layout=grid&type=item&tracking_id=0118436b-85a3-442f-a1da-3bb4271db0e4;https://http2.mlstatic.com/D_NQ_NP_925757-MLA70234108689_062023-W.jpg;2023-10-19;1 baño;
Venta De Departamento 3 Ambientes En Planta Baja - Mte Gde;27000.0;55;490.90909090909093;Ramon Santamarina 1075 T 4 D 4, Mo...;https://departamento.mercadolibre.com.ar/MLA-1361077303-venta-de-departamento-3-ambientes-en-planta-baja-mte-gde-_JM#position=14&search_layout=grid&type=item&tracking_id=65b5ac88-9222-4f99-a0fe-056526864fad;https://http2.mlstatic.com/D_NQ_NP_610269-MLA54110614933_032023-W.jpg;2023-10-19;1 baño;
Casa En Monte Grande;39900.0;80;498.75;Ceibo  Al 1900, Monte Grande, Este...;https://casa.mercadolibre.com.ar/MLA-1394798134-casa-en-monte-grande-_JM#position=28&search_layout=grid&type=item&tracking_id=17076fdf-5c14-4158-b591-4be35a1810e7;https://http2.mlstatic.com/D_NQ_NP_898924-MLA54930832150_042023-W.jpg;2023-10-19;1 baño;
Venta Monte Grande Barrio Coca Cola Departamento 3 Ambientes!;30000.0;60;500.0;Valentin Alsina 1400, Monte Grande...;https://departamento.mercadolibre.com.ar/MLA-1246259218-venta-monte-grande-barrio-coca-cola-departamento-3-ambientes-_JM#position=20&search_layout=grid&type=item&tracking_id=f42d0df7-28ac-4f8b-9dac-9cc0032a053c;https://http2.mlstatic.com/D_NQ_NP_608446-MLA49590001627_042022-W.jpg;2023-10-19;1 baño;
Casa A Reciclar. Excelente Oportunidad;45000.0;90;500.0;Rivadavia 1900, Monte Grande, Este...;https://casa.mercadolibre.com.ar/MLA-1392652441-casa-a-reciclar-excelente-oportunidad-_JM#position=9&search_layout=grid&type=item&tracking_id=277018b9-c208-4a3b-8544-f112e55b8f8d;https://http2.mlstatic.com/D_NQ_NP_878867-MLA72311743429_102023-W.jpg;2023-10-19;1 baño;
Venta - Casa En Calle Uruguay 665 Monte Grande ;75000.0;150;500.0;Uruguay 665, Monte Grande, Provinc...;https://casa.mercadolibre.com.ar/MLA-1380337982-venta-casa-en-calle-uruguay-665-monte-grande-_JM#position=24&search_layout=grid&type=item&tracking_id=159f88c3-3272-4761-a369-a4df45856cd7;https://http2.mlstatic.com/D_NQ_NP_753323-MLA54647490596_032023-W.jpg;2023-10-19;1 baño;
Venta Monte Grande Amplio Chalet + Local Comercial + 2 Departamentos!;150000.0;300;500.0;Nuestras Malvinas 1755, Monte Gran...;https://casa.mercadolibre.com.ar/MLA-1148095068-venta-monte-grande-amplio-chalet-local-comercial-2-departamentos-_JM#position=11&search_layout=grid&type=item&tracking_id=a0f37ccb-6657-4fb1-b822-34bdb647ee84;https://http2.mlstatic.com/D_NQ_NP_778943-MLA51684767072_092022-W.jpg;2023-10-19;3 baños;
Hermosa Casa En Venta !!! Oportunidad!!!;75000.0;150;500.0;Benito Sábato 1301 - Monte Grande,...;https://casa.mercadolibre.com.ar/MLA-1380258979-hermosa-casa-en-venta-oportunidad-_JM#position=25&search_layout=grid&type=item&tracking_id=a0f37ccb-6657-4fb1-b822-34bdb647ee84;https://http2.mlstatic.com/D_NQ_NP_710198-MLA70742960629_072023-W.jpg;2023-10-19;2 baños;
Casa En Venta  6 Ambientes Monte Grande;150000.0;300;500.0;Nuestras Malvinas Al 1700, Monte G...;https://casa.mercadolibre.com.ar/MLA-1487603632-casa-en-venta-6-ambientes-monte-grande-_JM#position=45&search_layout=grid&type=item&tracking_id=a0f37ccb-6657-4fb1-b822-34bdb647ee84;https://http2.mlstatic.com/D_NQ_NP_643983-MLA71410719507_082023-W.jpg;2023-10-19;3 baños;
Venta De Casa Con 4 Ph En Block -monte Grande;120000.0;240;500.0;Alte Brown 300, Monte Grande, Este...;https://casa.mercadolibre.com.ar/MLA-1502816046-venta-de-casa-con-4-ph-en-block-monte-grande-_JM#position=14&search_layout=grid&type=item&tracking_id=fca61af9-c77f-46b7-91d5-ed232ac27cff;https://http2.mlstatic.com/D_NQ_NP_912242-MLA71593368279_092023-W.jpg;2023-10-19;4 baños;
Casa En Venta - Monte Grande;150000.0;300;500.0;Italiani Al 200, Monte Grande, Est...;https://casa.mercadolibre.com.ar/MLA-1124868093-casa-en-venta-monte-grande-_JM#position=10&search_layout=grid&type=item&tracking_id=1b7cae5f-7c17-480f-87a7-64768d8c46d8;https://http2.mlstatic.com/D_NQ_NP_635123-MLA49201503160_022022-W.jpg;2023-10-19;3 baños;
Vendo Casa - Monte Grande;45000.0;90;500.0;Larrea  Al 700, Monte Grande, Este...;https://casa.mercadolibre.com.ar/MLA-1441130520-vendo-casa-monte-grande-_JM#position=20&search_layout=grid&type=item&tracking_id=65b5ac88-9222-4f99-a0fe-056526864fad;https://http2.mlstatic.com/D_NQ_NP_650587-MLA70243493827_062023-W.jpg;2023-10-19;1 baño;
Venta - Amplia Casa En Monte Grande ;150000.0;300;500.0;Ibt, Avenida Julio Argentino Roca ...;https://casa.mercadolibre.com.ar/MLA-1467955650-venta-amplia-casa-en-monte-grande-_JM#position=28&search_layout=grid&type=item&tracking_id=36b82243-b302-4da7-89d5-a97e8cc4ad74;https://http2.mlstatic.com/D_NQ_NP_665831-MLA70937915675_082023-W.jpg;2023-10-19;2 baños;
Única Parcela Comercial En Monte Grande;2200000.0;4400;500.0;Enrique Santamarina 700, Monte Gra...;https://terreno.mercadolibre.com.ar/MLA-845414285-unica-parcela-comercial-en-monte-grande-_JM#position=32&search_layout=grid&type=item&tracking_id=c112ea19-8061-4548-be78-cfd9dfc8ba6b;https://http2.mlstatic.com/D_NQ_NP_937366-MLA47778521637_102021-W.jpg;2023-10-19;;
Venta De Dúplex A Refaccionar Ideal Inversion, Monte Grande;190000.0;378;502.64550264550263;Medel 458, Monte Grande, Esteban E...;https://departamento.mercadolibre.com.ar/MLA-1185007176-venta-de-duplex-a-refaccionar-ideal-inversion-monte-grande-_JM#position=8&search_layout=grid&type=item&tracking_id=45aa4a5b-4de9-4c64-b276-cc431df89838;https://http2.mlstatic.com/D_NQ_NP_680969-MLA51824715324_102022-W.jpg;2023-10-19;3 baños;
Casa - Monte Grande;70000.0;135;518.5185185185185;Navarro Al 3380, Monte Grande, Est...;https://casa.mercadolibre.com.ar/MLA-1380427635-casa-monte-grande-_JM#position=31&search_layout=grid&type=item&tracking_id=34a0146d-8ff8-4da4-a44b-4dddafa63945;https://http2.mlstatic.com/D_NQ_NP_625921-MLA70763995511_072023-W.jpg;2023-10-19;1 baño;
Lote Con Proyecto Aprobado Para 100 Departamentos En Monte Grande;1500000.0;2850;526.3157894736842;Proyecto Monte Grande, Monte Grand...;https://terreno.mercadolibre.com.ar/MLA-1385263265-lote-con-proyecto-aprobado-para-100-departamentos-en-monte-grande-_JM#position=26&search_layout=grid&type=item&tracking_id=c19c581b-ce30-49e4-9743-1e52fce2b08f;https://http2.mlstatic.com/D_NQ_NP_804757-MLA71330356240_082023-W.jpg;2023-10-19;;
Venta De Casa 7 Ambientes Ms Local Comercial - Monte Grande;170000.0;320;531.25;Leandro N. Alem 980, Monte Grande,...;https://casa.mercadolibre.com.ar/MLA-1364311638-venta-de-casa-7-ambientes-ms-local-comercial-monte-grande-_JM#position=15&search_layout=grid&type=item&tracking_id=b798128f-1f24-4705-a31c-2c20413786c3;https://http2.mlstatic.com/D_NQ_NP_780834-MLA54184080672_032023-W.jpg;2023-10-19;3 baños;
Casa - Monte Grande;198000.0;370;535.1351351351351;Almirante Brown Al 400, Monte Gran...;https://casa.mercadolibre.com.ar/MLA-1441117896-casa-monte-grande-_JM#position=40&search_layout=grid&type=item&tracking_id=34a0146d-8ff8-4da4-a44b-4dddafa63945;https://http2.mlstatic.com/D_NQ_NP_836801-MLA70221379316_062023-W.jpg;2023-10-19;2 baños;
Venta Casa Monte Grande;270000.0;500;540.0;Reconquista 363, Monte Grande, Pro...;https://casa.mercadolibre.com.ar/MLA-1434412680-venta-casa-monte-grande-_JM#position=9&search_layout=grid&type=item&tracking_id=de87ff7f-e3d9-47a1-bc9b-a9f699d42acd;https://http2.mlstatic.com/D_NQ_NP_684252-MLA69992827518_062023-W.jpg;2023-10-19;2 baños;
Linda Propiedad Con Dos Viviendas En Buena Zona;87000.0;160;543.75;A. Sardi 187, Monte Grande, Provin...;https://casa.mercadolibre.com.ar/MLA-1128270612-linda-propiedad-con-dos-viviendas-en-buena-zona-_JM#position=16&search_layout=grid&type=item&tracking_id=b798128f-1f24-4705-a31c-2c20413786c3;https://http2.mlstatic.com/D_NQ_NP_871871-MLA49403437245_032022-W.jpg;2023-10-19;2 baños;
Venta De Departamento 3 Ambientes - Monte Grande - Coca Cola;30000.0;55;545.4545454545455;Ramon Santamarina 1075 T 6 D 5, Mo...;https://departamento.mercadolibre.com.ar/MLA-1360034108-venta-de-departamento-3-ambientes-monte-grande-coca-cola-_JM#position=4&search_layout=grid&type=item&tracking_id=b364e229-cc2e-4600-b3e8-7c3d88351e5e;https://http2.mlstatic.com/D_NQ_NP_731450-MLA54062139679_022023-W.jpg;2023-10-19;1 baño;
Casa 4 Ambientes En Venta En Monte Grande;69000.0;126;547.6190476190476;Talcahuano 2400, Monte Grande, Est...;https://casa.mercadolibre.com.ar/MLA-1391285143-casa-4-ambientes-en-venta-en-monte-grande-_JM#position=2&search_layout=grid&type=item&tracking_id=ba160732-126e-4954-8de1-dc966313f615;https://http2.mlstatic.com/D_NQ_NP_672278-MLA72032754928_102023-W.jpg;2023-10-19;2 baños;
Casa 7 Amb En Venta Monte Grande Ideal Dos Familia;324000.0;590;549.1525423728814;Azcuénaga 0, Monte Grande, Esteban...;https://casa.mercadolibre.com.ar/MLA-1538568672-casa-7-amb-en-venta-monte-grande-ideal-dos-familia-_JM#position=19&search_layout=grid&type=item&tracking_id=277018b9-c208-4a3b-8544-f112e55b8f8d;https://http2.mlstatic.com/D_NQ_NP_909529-MLA72307622609_102023-W.jpg;2023-10-19;4 baños;
Venta Casa 2 Dormitorios Monte Grande Con Cochera;54999.0;100;549.99;Pedro Reta 2050, Monte Grande, Est...;https://casa.mercadolibre.com.ar/MLA-1464624892-venta-casa-2-dormitorios-monte-grande-con-cochera-_JM#position=41&search_layout=grid&type=item&tracking_id=159f88c3-3272-4761-a369-a4df45856cd7;https://http2.mlstatic.com/D_NQ_NP_773713-MLA70808517096_082023-W.jpg;2023-10-19;1 baño;
Galpon En Venta!! Berasain 122;220000.0;400;550.0;Berasain 122, Monte Grande, Esteba...;https://inmueble.mercadolibre.com.ar/MLA-798765534-galpon-en-venta-berasain-122-_JM#position=10&search_layout=grid&type=item&tracking_id=b5a2d9c6-68cb-4e1a-b49c-899588ae8677;https://http2.mlstatic.com/D_NQ_NP_671043-MLA29583857392_032019-W.jpg;2023-10-19;;
Casa 3 Ambientes Sobre Lote De 8.66 X 60;55000.0;100;550.0;Hipólito Yrigoyen 954, Monte Grand...;https://casa.mercadolibre.com.ar/MLA-1143957451-casa-3-ambientes-sobre-lote-de-866-x-60-_JM#position=26&search_layout=grid&type=item&tracking_id=67367561-6d7f-4563-96ab-57ecf12b33ea;https://http2.mlstatic.com/D_NQ_NP_634301-MLA50435786789_062022-W.jpg;2023-10-19;1 baño;
Casa En Venta;110000.0;200;550.0;Adolfo Alsina 1038, Monte Grande, ...;https://casa.mercadolibre.com.ar/MLA-1470485922-casa-en-venta-_JM#position=14&search_layout=grid&type=item&tracking_id=45aa4a5b-4de9-4c64-b276-cc431df89838;https://http2.mlstatic.com/D_NQ_NP_761298-MLA70989462796_082023-W.jpg;2023-10-19;1 baño;
Casa En Venta En Barrio Los Robles Monte Grande;85000.0;154;551.9480519480519;Avenida Fair  Al 1400, Monte Grand...;https://casa.mercadolibre.com.ar/MLA-1498159132-casa-en-venta-en-barrio-los-robles-monte-grande-_JM#position=24&search_layout=grid&type=item&tracking_id=b364e229-cc2e-4600-b3e8-7c3d88351e5e;https://http2.mlstatic.com/D_NQ_NP_887201-MLA71548432661_092023-W.jpg;2023-10-19;2 baños;
Venta - Ideal Inversionista - Lote Para Proyecto!;165000.0;298;553.6912751677852;Reta 60, Monte Grande, Esteban Ech...;https://casa.mercadolibre.com.ar/MLA-1180896364-venta-ideal-inversionista-lote-para-proyecto-_JM#position=35&search_layout=grid&type=item&tracking_id=8c17b2a8-e3fa-4266-9fd1-0f7d162cca88;https://http2.mlstatic.com/D_NQ_NP_616319-MLA51760612370_092022-W.jpg;2023-10-19;4 baños;
Salón De Eventos Con Piscina ;66600.0;120;555.0;Tandil 733, Monte Grande, Provinci...;https://inmueble.mercadolibre.com.ar/MLA-1457867180-salon-de-eventos-con-piscina-_JM#position=42&search_layout=grid&type=item&tracking_id=65b5ac88-9222-4f99-a0fe-056526864fad;https://http2.mlstatic.com/D_NQ_NP_674214-MLA70652272996_072023-W.jpg;2023-10-19;;
Departamento 2 Ambientes - Monte Grande;112000.0;200;560.0;Irigoyen 436, Monte Grande, Esteba...;https://departamento.mercadolibre.com.ar/MLA-1380290295-departamento-2-ambientes-monte-grande-_JM#position=5&search_layout=grid&type=item&tracking_id=d5b652b9-eb6a-4d2f-9f81-9a57c30c4978;https://http2.mlstatic.com/D_NQ_NP_617245-MLA70715479064_072023-W.jpg;2023-10-19;1 baño;
Venta Casa Monte Grande;45000.0;80;562.5;Cornelio Saavedra & Alejo Ortega, ...;https://casa.mercadolibre.com.ar/MLA-1168308843-venta-casa-monte-grande-_JM#position=8&search_layout=grid&type=item&tracking_id=c165c15f-9b89-4557-aa83-c463359173f8;https://http2.mlstatic.com/D_NQ_NP_781675-MLA51542283333_092022-W.jpg;2023-10-19;1 baño;
Departamento En Venta En Monte Grande ;40000.0;70;571.4285714285714;Fernando De Toro 687, Monte Grande...;https://departamento.mercadolibre.com.ar/MLA-1234816052-departamento-en-venta-en-monte-grande-_JM#position=17&search_layout=grid&type=item&tracking_id=c112ea19-8061-4548-be78-cfd9dfc8ba6b;https://http2.mlstatic.com/D_NQ_NP_870402-MLA52384453996_112022-W.jpg;2023-10-19;1 baño;
Importante Casaquinta En Venta En Monte Grande - oportunidad Financiacion;229900.0;400;574.75;Avenida Pedro Suárez 1 - 300, Mont...;https://casa.mercadolibre.com.ar/MLA-1146201333-importante-casaquinta-en-venta-en-monte-grande-oportunidad-financiacion-_JM#position=21&search_layout=grid&type=item&tracking_id=b364e229-cc2e-4600-b3e8-7c3d88351e5e;https://http2.mlstatic.com/D_NQ_NP_678468-MLA50757578107_072022-W.jpg;2023-10-19;4 baños;
Casa  En Venta En Monte Grande, Esteban Echeverría, G.b.a. Zona Sur;69000.0;120;575.0;Jewet 400, Monte Grande, Esteban E...;https://casa.mercadolibre.com.ar/MLA-1392555343-casa-en-venta-en-monte-grande-esteban-echeverria-gba-zona-sur-_JM#position=40&search_layout=grid&type=item&tracking_id=f42d0df7-28ac-4f8b-9dac-9cc0032a053c;https://http2.mlstatic.com/D_NQ_NP_739190-MLA72245467128_102023-W.jpg;2023-10-19;2 baños;
Bloque En Venta Con Casa 6 Ambientes Y Dos Departamentos 2 Ambientes;115000.0;200;575.0;Deán Funes 773, Monte Grande, Prov...;https://casa.mercadolibre.com.ar/MLA-1128313482-bloque-en-venta-con-casa-6-ambientes-y-dos-departamentos-2-ambientes-_JM#position=28&search_layout=grid&type=item&tracking_id=0b1a4564-303e-41ca-9930-cec9d9c58c72;https://http2.mlstatic.com/D_NQ_NP_909825-MLA49407104360_032022-W.jpg;2023-10-19;4 baños;
Excelente Oportunidad Para Emprendimiento Inmobiliario!!!;115000.0;200;575.0;A. Rojas Esquina Gral. Paz 200, Mo...;https://casa.mercadolibre.com.ar/MLA-1392622187-excelente-oportunidad-para-emprendimiento-inmobiliario-_JM#position=10&search_layout=grid&type=item&tracking_id=91b0c92b-261f-4012-b4ed-8716042aafd0;https://http2.mlstatic.com/D_NQ_NP_814572-MLA47427826397_092021-W.jpg;2023-10-19;1 baño;
Excelente Oportunidad Para Emprendimiento Inmobiliario!!!;115000.0;200;575.0;A. Rojas Esquina Gral. Paz 200, Mo...;https://terreno.mercadolibre.com.ar/MLA-1102493119-excelente-oportunidad-para-emprendimiento-inmobiliario-_JM#position=22&search_layout=grid&type=item&tracking_id=91b0c92b-261f-4012-b4ed-8716042aafd0;https://http2.mlstatic.com/D_NQ_NP_723219-MLA47428114034_092021-W.jpg;2023-10-19;;
Excelente Oportunidad Para Emprendimiento Inmobiliario!!!;115000.0;200;575.0;A. Rojas Esquina Gral. Paz 200, Mo...;https://terreno.mercadolibre.com.ar/MLA-1104241281-excelente-oportunidad-para-emprendimiento-inmobiliario-_JM#position=24&search_layout=grid&type=item&tracking_id=91b0c92b-261f-4012-b4ed-8716042aafd0;https://http2.mlstatic.com/D_NQ_NP_760218-MLA47577378647_092021-W.jpg;2023-10-19;;
Casa De 3 Ambientes Con Garage Cubierto + Depto Al Fondo;69000.0;119;579.8319327731092;Nicolás Avellaneda 721, Monte Gran...;https://casa.mercadolibre.com.ar/MLA-1137758298-casa-de-3-ambientes-con-garage-cubierto-depto-al-fondo-_JM#position=17&search_layout=grid&type=item&tracking_id=b364e229-cc2e-4600-b3e8-7c3d88351e5e;https://http2.mlstatic.com/D_NQ_NP_797209-MLA49983383432_052022-W.jpg;2023-10-19;2 baños;
Muy Linda Casa 3 Ambientes En Buena Ubicacion;70000.0;120;583.3333333333334;9 De Julio 195, Monte Grande, Prov...;https://casa.mercadolibre.com.ar/MLA-1128238114-muy-linda-casa-3-ambientes-en-buena-ubicacion-_JM#position=19&search_layout=grid&type=item&tracking_id=f42d0df7-28ac-4f8b-9dac-9cc0032a053c;https://http2.mlstatic.com/D_NQ_NP_844518-MLA49403120978_032022-W.jpg;2023-10-19;1 baño;
Vendo Departamento - Monte Grande;35000.0;60;583.3333333333334;R. Santamarina Nº 1049 2º Piso, Mo...;https://departamento.mercadolibre.com.ar/MLA-1375363259-vendo-departamento-monte-grande-_JM#position=1&search_layout=grid&type=item&tracking_id=48a25870-1830-4c0a-a22f-89aa140d91f9;https://http2.mlstatic.com/D_NQ_NP_759276-MLA70221385362_062023-W.jpg;2023-10-19;1 baño;
Parada De Diarios ;7000.0;12;583.3333333333334;Dardo Rocha  11, Monte Grande, Est...;https://inmueble.mercadolibre.com.ar/MLA-1526555504-parada-de-diarios-_JM#position=20&search_layout=grid&type=item&tracking_id=9b10ef2e-2220-4118-91bb-f1fa61d08d10;https://http2.mlstatic.com/D_NQ_NP_624049-MLA53451889744_012023-W.jpg;2023-10-19;;
Casa En Venta En Monte Grande 5 Ambientes;76000.0;130;584.6153846153846;Ingeniero Huergo 1167, Monte Grand...;https://casa.mercadolibre.com.ar/MLA-1309410080-casa-en-venta-en-monte-grande-5-ambientes-_JM#position=24&search_layout=grid&type=item&tracking_id=13800304-7dc6-4c99-bf49-06248a585521;https://http2.mlstatic.com/D_NQ_NP_863117-MLA70456955720_072023-W.jpg;2023-10-19;2 baños;
